week_number,area_reported,cases_reported,disease,Region,Population,incidence_per_100k,lower_threshold,upper_threshold,outbreak_threshold,risk_level
6,Kalutara,2,Dysentery,Kalutara,1305784,0.1531646887999853,0.0,0.13860505357343197,0.21830061145456192,Warning
6,Kandy,2,Dysentery,Kandy,1461895,0.13680873113322092,0.0,0.10103289087393189,0.16523266182738122,Warning
6,Kegalle,0,Dysentery,Kegalle,870476,0.0,0.0,0.2983728125670497,0.4774475010661711,Normal
6,Kilinochchi,0,Dysentery,Kilinochchi,123756,0.0,0.0,0.7088035855644657,1.1534397150677487,Normal
6,Kurunegala,0,Dysentery,Kurunegala,1768156,0.0,0.0010249373527276284,0.21867374221035302,0.3274981446391657,Below Expected
6,Mannar,0,Dysentery,Mannar,172312,0.0,0.0,0.8232922102198853,1.4122152796682899,Normal
6,Matale,0,Dysentery,Matale,526870,0.0,0.0,0.2734278698085139,0.46290567749398187,Normal
6,Matara,0,Dysentery,Matara,671418,0.0,0.0,0.1601078791758683,0.26293171404321575,Normal
6,Monaragala,0,Dysentery,Monaragala,527585,0.0,0.0,0.30649439775969956,0.4854118319823533,Normal
6,Mullaitivu,0,Dysentery,Mullaitivu,136710,0.0,0.0,0.5193679204653832,0.8840006631541137,Normal
6,Nuwara Eliya,3,Dysentery,Nuwara Eliya,725280,0.413633355393779,0.0,0.6979024411790662,1.0749738823411628,Normal
6,Polonnaruwa,0,Dysentery,Polonnaruwa,447530,0.0,0.0,0.23184613934708365,0.36056210607144673,Normal
6,Puttalam,0,Dysentery,Puttalam,818816,0.0,0.0,0.24621809202003359,0.4008405141948272,Normal
6,Ratnapura,0,Dysentery,Ratnapura,1145423,0.0,0.07394248078540822,0.3491460940165511,0.4867479006321226,Below Expected
6,Trincomalee,0,Dysentery,Trincomalee,442745,0.0,0.0,0.21459021877615977,0.34230980443045833,Normal
6,Vavuniya,0,Dysentery,Vavuniya,122619,0.0,0.0,0.8993984542089735,1.4851298709968421,Normal
7,Ampara,2,Dysentery,Ampara,744551,0.2686182679225466,0.0,0.21664068022296257,0.3273837740533827,Warning
7,Anuradhapura,0,Dysentery,Anuradhapura,960080,0.0,0.0,0.26004980454721865,0.4039233930098802,Normal
7,Badulla,1,Dysentery,Badulla,872307,0.11463853895474874,0.0,0.2030811009333332,0.31797871036301356,Normal
7,Batticaloa,3,Dysentery,Batticaloa,595918,0.5034249678647063,0.04546648792177449,0.7096709638752847,1.04177320185204,Normal
7,Colombo,2,Dysentery,Colombo,2375415,0.0841958142050968,0.0,0.10771529450315195,0.17414225704034297,Normal
7,Galle,1,Dysentery,Galle,1097372,0.09112680112122416,0.0,0.31311851162715504,0.47202243674146915,Normal
7,Gampaha,0,Dysentery,Gampaha,2436142,0.0,0.0,0.13140642503886504,0.20597645118902064,Normal
7,Hambantota,1,Dysentery,Hambantota,837889,0.11934755080923606,0.0,0.1603972618550357,0.24964502226610374,Normal
7,Jaffna,0,Dysentery,Jaffna,594751,0.0,0.0,0.39062874603642456,0.5904859953262468,Normal
7,Kalmunai,2,Dysentery,Kalmunai,52798,3.7880222735709688,0.0,3.619375203727471,5.7089721815897425,Warning
7,Kalutara,1,Dysentery,Kalutara,1305784,0.07658234439999265,0.0,0.13860505357343197,0.21830061145456192,Normal
7,Kandy,0,Dysentery,Kandy,1461895,0.0,0.0,0.10103289087393189,0.16523266182738122,Normal
7,Kegalle,0,Dysentery,Kegalle,870476,0.0,0.0,0.2983728125670497,0.4774475010661711,Normal
7,Kilinochchi,0,Dysentery,Kilinochchi,123756,0.0,0.0,0.7088035855644657,1.1534397150677487,Normal
